,Lead_ID,Lead_Source,Sales_Rep,Industry,Region,Created_Date,Qualified_Date,Demo_Date,Proposal_Date,Closed_Date,Deal_Status,Deal_Value,Qualified_Flag,Demo_Flag,Proposal_Flag,Won_Flag,Days_to_Qualify,Days_to_Demo,Days_to_Proposal,Days_to_Close
17333,LEAD_107891,Website,Rohit Kapoor,Unknown,South,2025-03-10 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,14.0,,
6081,LEAD_102911,Linkedin,Amit Verma,Education,South,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
14908,LEAD_108314,Website,Amit Verma,Finance,East,2025-03-10 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-20 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-10 10:41:08.238817,Won,130311.0,1,1,1,1,8.0,2.0,12.0,9.0
2518,LEAD_110840,Facebook,Priya Mehta,Unknown,West,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
17875,LEAD_116105,Facebook,Rahul Sharma,Retail,East,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
7190,LEAD_106859,Website,Priya Mehta,Healthcare,North,2025-03-10 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-03 10:41:08.238817,Won,129808.0,1,1,1,1,4.0,3.0,13.0,4.0
6818,LEAD_109802,Google Ads,Amit Verma,Healthcare,North,2025-03-10 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-28 10:41:08.238817,2025-04-10 10:41:08.238817,Won,26844.0,1,1,1,1,1.0,10.0,7.0,13.0
17887,LEAD_116442,Facebook,Rahul Sharma,Healthcare,South,2025-03-10 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,,,Lost,0.0,1,1,0,0,4.0,7.0,,
7382,LEAD_111906,Website,Priya Mehta,Education,Unknown,2025-03-10 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-17 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-04 10:41:08.238817,Lost,0.0,1,1,1,0,3.0,4.0,15.0,3.0
6352,LEAD_108718,Website,Rohit Kapoor,Education,Unknown,2025-03-10 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-10 10:41:08.238817,Lost,0.0,1,1,1,0,4.0,8.0,10.0,9.0
8842,LEAD_115545,Linkedin,Neha Singh,Unknown,South,2025-03-10 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-27 10:41:08.238817,Won,158315.0,1,1,1,1,6.0,3.0,2.0,6.0
12813,LEAD_102671,Website,Amit Verma,Education,West,2025-03-10 10:41:08.238817,2025-03-19 10:41:08.238817,2025-04-02 10:41:08.238817,2025-04-21 10:41:08.238817,2025-04-25 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,14.0,19.0,4.0
16851,LEAD_101629,Website,Nan,Finance,North,2025-03-10 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-27 10:41:08.238817,2025-04-09 10:41:08.238817,2025-04-14 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,12.0,13.0,5.0
11705,LEAD_114792,Linkedin,Rohit Kapoor,Healthcare,South,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
7614,LEAD_113673,Google Ads,Amit Verma,Retail,East,2025-03-10 10:41:08.238817,2025-03-12 10:41:08.238817,2025-03-23 10:41:08.238817,2025-04-10 10:41:08.238817,2025-04-24 10:41:08.238817,Lost,0.0,1,1,1,0,2.0,11.0,18.0,14.0
1956,LEAD_112748,Facebook,Neha Singh,Healthcare,South,2025-03-10 10:41:08.238817,2025-03-11 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
6120,LEAD_102446,Google Ads,Nan,Unknown,West,2025-03-10 10:41:08.238817,2025-03-12 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
8608,LEAD_103026,Website,Priya Mehta,Education,North,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
3687,LEAD_114334,Google Ads,Nan,Retail,Unknown,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2989,LEAD_116071,Facebook,Amit Verma,IT,West,2025-03-10 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-20 10:41:08.238817,2025-03-29 10:41:08.238817,2025-04-12 10:41:08.238817,Won,177725.0,1,1,1,1,3.0,7.0,9.0,14.0
8268,LEAD_104739,Google Ads,Rahul Sharma,Retail,Unknown,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
11758,LEAD_107185,Website,Neha Singh,Healthcare,Unknown,2025-03-10 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-15 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,4.0,,
16013,LEAD_111247,Linkedin,Priya Mehta,Education,East,2025-03-10 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-20 10:41:08.238817,2025-03-26 10:41:08.238817,2025-04-05 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,1.0,6.0,10.0
2490,LEAD_107002,Facebook,Rahul Sharma,Education,Unknown,2025-03-10 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
16572,LEAD_111118,Linkedin,Neha Singh,Education,South,2025-03-10 10:41:08.238817,2025-03-15 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
6839,LEAD_107874,Facebook,Amit Verma,Retail,East,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
10877,LEAD_116025,Linkedin,Rahul Sharma,Education,North,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
16745,LEAD_110183,Nan,Rahul Sharma,Finance,East,2025-03-11 10:41:08.238817,2025-03-20 10:41:08.238817,2025-04-03 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,14.0,,
14590,LEAD_107752,Nan,Amit Verma,Finance,North,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
14138,LEAD_104280,Website,Neha Singh,Healthcare,East,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
11629,LEAD_111165,Linkedin,Priya Mehta,Education,West,2025-03-11 10:41:08.238817,2025-03-18 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
2126,LEAD_100372,Website,Nan,Retail,West,2025-03-11 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-18 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,4.0,,
1243,LEAD_104910,Facebook,Priya Mehta,Finance,Unknown,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
10398,LEAD_103309,Referral,Neha Singh,Finance,North,2025-03-11 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-20 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,7.0,,
7949,LEAD_105616,Facebook,Amit Verma,Retail,Unknown,2025-03-11 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-27 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,13.0,,
3105,LEAD_117583,Facebook,Neha Singh,Unknown,West,2025-03-11 10:41:08.238817,2025-03-12 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
17282,LEAD_109132,Referral,Amit Verma,Education,Unknown,2025-03-11 10:41:08.238817,2025-03-18 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
583,LEAD_117671,Referral,Neha Singh,Finance,Unknown,2025-03-11 10:41:08.238817,2025-03-13 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
9008,LEAD_114827,Referral,Priya Mehta,Retail,West,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
8006,LEAD_111411,Referral,Amit Verma,Healthcare,West,2025-03-11 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-23 10:41:08.238817,,,Lost,0.0,1,1,0,0,4.0,8.0,,
2924,LEAD_103592,Referral,Amit Verma,Healthcare,East,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
12501,LEAD_106450,Website,Amit Verma,Finance,West,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-23 10:41:08.238817,2025-03-24 10:41:08.238817,2025-03-31 10:41:08.238817,Won,30881.0,1,1,1,1,5.0,7.0,1.0,7.0
16463,LEAD_117717,Nan,Rahul Sharma,Retail,Unknown,2025-03-11 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-03 10:41:08.238817,2025-04-06 10:41:08.238817,Lost,0.0,1,1,1,0,6.0,13.0,4.0,3.0
10632,LEAD_117607,Website,Amit Verma,Unknown,West,2025-03-11 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-03 10:41:08.238817,2025-04-07 10:41:08.238817,Lost,0.0,1,1,1,0,7.0,12.0,4.0,4.0
2983,LEAD_111173,Facebook,Neha Singh,Education,South,2025-03-11 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-27 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,8.0,,
9560,LEAD_117385,Google Ads,Priya Mehta,Healthcare,East,2025-03-11 10:41:08.238817,2025-03-20 10:41:08.238817,2025-03-22 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,2.0,,
1375,LEAD_102651,Nan,Priya Mehta,Unknown,South,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-26 10:41:08.238817,2025-03-28 10:41:08.238817,2025-03-29 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,10.0,2.0,1.0
5498,LEAD_110258,Google Ads,Priya Mehta,Unknown,West,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-07 10:41:08.238817,2025-04-13 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,6.0,16.0,6.0
1163,LEAD_117169,Website,Rohit Kapoor,Healthcare,West,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
14661,LEAD_111755,Facebook,Nan,Finance,Unknown,2025-03-11 10:41:08.238817,2025-03-12 10:41:08.238817,2025-03-24 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-06 10:41:08.238817,Lost,0.0,1,1,1,0,1.0,12.0,8.0,5.0
2332,LEAD_110702,Referral,Amit Verma,IT,West,2025-03-11 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-26 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,12.0,,
702,LEAD_104054,Facebook,Neha Singh,Education,East,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
9211,LEAD_115943,Facebook,Priya Mehta,Unknown,South,2025-03-11 10:41:08.238817,2025-03-12 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
4826,LEAD_100923,Referral,Rahul Sharma,Unknown,East,2025-03-11 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-08 10:41:08.238817,2025-04-22 10:41:08.238817,Lost,0.0,1,1,1,0,6.0,5.0,17.0,14.0
1790,LEAD_105322,Facebook,Neha Singh,Healthcare,North,2025-03-11 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
9694,LEAD_106394,Linkedin,Amit Verma,Education,North,2025-03-11 10:41:08.238817,2025-03-19 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
10241,LEAD_108467,Google Ads,Amit Verma,IT,North,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
1872,LEAD_111644,Google Ads,Amit Verma,Healthcare,North,2025-03-12 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-26 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,5.0,,
10893,LEAD_117134,Facebook,Neha Singh,Finance,East,2025-03-12 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,14.0,,
11936,LEAD_116114,Facebook,Rahul Sharma,IT,Unknown,2025-03-12 10:41:08.238817,2025-03-20 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
16393,LEAD_102575,Facebook,Neha Singh,Retail,East,2025-03-12 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-23 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,6.0,,
16209,LEAD_103052,Google Ads,Nan,Education,East,2025-03-12 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,8.0,,
4964,LEAD_116810,Facebook,Amit Verma,Healthcare,North,2025-03-12 10:41:08.238817,2025-03-20 10:41:08.238817,2025-03-23 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,3.0,,
9672,LEAD_117990,Facebook,Rohit Kapoor,Retail,East,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
9002,LEAD_100501,Website,Rahul Sharma,Finance,Unknown,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,7.0,,
4028,LEAD_107271,Nan,Amit Verma,Education,West,2025-03-12 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-20 10:41:08.238817,,,Lost,0.0,1,1,0,0,7.0,1.0,,
6943,LEAD_110763,Facebook,Neha Singh,Education,Unknown,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-26 10:41:08.238817,2025-04-08 10:41:08.238817,2025-04-11 10:41:08.238817,Won,108325.0,1,1,1,1,2.0,12.0,13.0,3.0
5227,LEAD_107405,Nan,Neha Singh,Unknown,East,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
15652,LEAD_117393,Facebook,Rahul Sharma,Healthcare,West,2025-03-12 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-16 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,3.0,,
9059,LEAD_116212,Linkedin,Amit Verma,Retail,North,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
2614,LEAD_111138,Linkedin,Rohit Kapoor,IT,South,2025-03-12 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-27 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,10.0,,
3234,LEAD_117937,Google Ads,Rahul Sharma,Education,West,2025-03-12 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,11.0,,
13768,LEAD_110190,Google Ads,Rahul Sharma,IT,East,2025-03-12 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-24 10:41:08.238817,2025-03-27 10:41:08.238817,2025-04-02 10:41:08.238817,Lost,0.0,1,1,1,0,7.0,5.0,3.0,6.0
2684,LEAD_101846,Google Ads,Priya Mehta,Unknown,West,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2853,LEAD_112467,Facebook,Amit Verma,Finance,West,2025-03-12 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-07 10:41:08.238817,Lost,0.0,1,1,1,0,1.0,5.0,14.0,6.0
14855,LEAD_111150,Linkedin,Neha Singh,IT,North,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
1606,LEAD_112222,Website,Priya Mehta,Unknown,Unknown,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
8493,LEAD_112774,Referral,Amit Verma,IT,East,2025-03-12 10:41:08.238817,2025-03-20 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
2673,LEAD_102528,Website,Rahul Sharma,Finance,West,2025-03-12 10:41:08.238817,2025-03-21 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
2106,LEAD_100129,Google Ads,Rahul Sharma,Healthcare,East,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-26 10:41:08.238817,2025-04-06 10:41:08.238817,Lost,0.0,1,1,1,0,2.0,4.0,8.0,11.0
1603,LEAD_107601,Google Ads,Neha Singh,Retail,East,2025-03-12 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-29 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-01 10:41:08.238817,Lost,0.0,1,1,1,0,4.0,13.0,2.0,1.0
14580,LEAD_101419,Website,Neha Singh,Unknown,Unknown,2025-03-12 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,14.0,,
6814,LEAD_100552,Google Ads,Priya Mehta,Healthcare,Unknown,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
11077,LEAD_101606,Website,Amit Verma,Healthcare,East,2025-03-12 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-23 10:41:08.238817,Won,46711.0,1,1,1,1,1.0,1.0,7.0,2.0
1747,LEAD_112049,Facebook,Rahul Sharma,Unknown,Unknown,2025-03-12 10:41:08.238817,2025-03-20 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
5396,LEAD_111667,Google Ads,Rohit Kapoor,IT,Unknown,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2362,LEAD_102979,Nan,Amit Verma,Healthcare,North,2025-03-12 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-29 10:41:08.238817,2025-04-15 10:41:08.238817,2025-04-18 10:41:08.238817,Won,190471.0,1,1,1,1,4.0,13.0,17.0,3.0
10056,LEAD_103450,Google Ads,Rahul Sharma,Finance,East,2025-03-12 10:41:08.238817,2025-03-19 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
3011,LEAD_117127,Website,Neha Singh,Finance,South,2025-03-12 10:41:08.238817,2025-03-20 10:41:08.238817,2025-04-02 10:41:08.238817,2025-04-06 10:41:08.238817,2025-04-13 10:41:08.238817,Lost,0.0,1,1,1,0,8.0,13.0,4.0,7.0
3374,LEAD_108214,Website,Priya Mehta,Healthcare,Unknown,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-03 10:41:08.238817,Won,166234.0,1,1,1,1,2.0,7.0,9.0,4.0
4742,LEAD_116611,Website,Rahul Sharma,Healthcare,East,2025-03-12 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
3862,LEAD_106999,Website,Amit Verma,Retail,Unknown,2025-03-12 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-21 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,6.0,,
2993,LEAD_115949,Website,Priya Mehta,Retail,East,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
14934,LEAD_116647,Facebook,Amit Verma,Healthcare,South,2025-03-12 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-29 10:41:08.238817,2025-04-06 10:41:08.238817,2025-04-19 10:41:08.238817,Lost,0.0,1,1,1,0,6.0,11.0,8.0,13.0
17522,LEAD_110646,Facebook,Nan,IT,Unknown,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-17 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,3.0,,
8636,LEAD_107010,Google Ads,Priya Mehta,Retail,Unknown,2025-03-12 10:41:08.238817,2025-03-15 10:41:08.238817,,,,Lost,0.0,1,0,0,0,3.0,,,
6580,LEAD_116225,Linkedin,Priya Mehta,Finance,Unknown,2025-03-12 10:41:08.238817,2025-03-14 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
11695,LEAD_102073,Facebook,Priya Mehta,Healthcare,North,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
14629,LEAD_111925,Website,Rahul Sharma,Unknown,Unknown,2025-03-13 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-25 10:41:08.238817,2025-04-05 10:41:08.238817,2025-04-09 10:41:08.238817,Lost,0.0,1,1,1,0,8.0,4.0,11.0,4.0
12493,LEAD_117731,Google Ads,Amit Verma,IT,East,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
13230,LEAD_110706,Website,Nan,Finance,East,2025-03-13 10:41:08.238817,2025-03-19 10:41:08.238817,,,,Lost,0.0,1,0,0,0,6.0,,,
17079,LEAD_100642,Website,Priya Mehta,Retail,North,2025-03-13 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-29 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,8.0,,
347,LEAD_101406,Google Ads,Rahul Sharma,IT,Unknown,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
2053,LEAD_101424,Facebook,Neha Singh,Education,West,2025-03-13 10:41:08.238817,2025-03-15 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
16107,LEAD_115712,Website,Rahul Sharma,Retail,South,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
5432,LEAD_104638,Linkedin,Amit Verma,Finance,West,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
4815,LEAD_114845,Website,Amit Verma,Healthcare,Unknown,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2697,LEAD_109692,Referral,Rohit Kapoor,Unknown,Unknown,2025-03-13 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-17 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,3.0,,
7504,LEAD_114226,Referral,Nan,Education,East,2025-03-13 10:41:08.238817,2025-03-17 10:41:08.238817,,,,Lost,0.0,1,0,0,0,4.0,,,
12347,LEAD_106372,Linkedin,Priya Mehta,Healthcare,West,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
16407,LEAD_116910,Nan,Neha Singh,Unknown,North,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-08 10:41:08.238817,2025-04-11 10:41:08.238817,Won,129589.0,1,1,1,1,5.0,13.0,8.0,3.0
742,LEAD_111806,Facebook,Rahul Sharma,IT,West,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
7334,LEAD_114703,Nan,Neha Singh,Unknown,West,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
12926,LEAD_110591,Google Ads,Priya Mehta,IT,Unknown,2025-03-13 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-26 10:41:08.238817,2025-04-10 10:41:08.238817,2025-04-23 10:41:08.238817,Lost,0.0,1,1,1,0,3.0,10.0,15.0,13.0
17000,LEAD_109044,Facebook,Rahul Sharma,Healthcare,Unknown,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
3249,LEAD_105064,Nan,Priya Mehta,Retail,North,2025-03-13 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-17 10:41:08.238817,2025-04-02 10:41:08.238817,2025-04-06 10:41:08.238817,Won,81566.0,1,1,1,1,2.0,2.0,16.0,4.0
16904,LEAD_113078,Facebook,Amit Verma,Finance,North,2025-03-13 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-16 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,1.0,,
1358,LEAD_106236,Google Ads,Priya Mehta,Education,North,2025-03-13 10:41:08.238817,2025-03-20 10:41:08.238817,2025-04-02 10:41:08.238817,,,Lost,0.0,1,1,0,0,7.0,13.0,,
14503,LEAD_100472,Website,Amit Verma,Finance,East,2025-03-13 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-08 10:41:08.238817,2025-04-20 10:41:08.238817,Won,98444.0,1,1,1,1,3.0,6.0,17.0,12.0
9619,LEAD_109675,Referral,Rahul Sharma,Retail,West,2025-03-13 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-24 10:41:08.238817,2025-03-29 10:41:08.238817,2025-04-12 10:41:08.238817,Lost,0.0,1,1,1,0,2.0,9.0,5.0,14.0
4118,LEAD_110252,Facebook,Rohit Kapoor,Unknown,South,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-18 10:41:08.238817,2025-04-30 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,10.0,17.0,12.0
3118,LEAD_101533,Referral,Priya Mehta,Finance,North,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-10 10:41:08.238817,2025-04-14 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,13.0,10.0,4.0
11473,LEAD_101665,Website,Neha Singh,IT,South,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,2025-03-23 10:41:08.238817,2025-04-06 10:41:08.238817,2025-04-09 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,1.0,14.0,3.0
2062,LEAD_108816,Referral,Priya Mehta,Healthcare,South,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
12770,LEAD_113555,Linkedin,Nan,Healthcare,Unknown,2025-03-13 10:41:08.238817,2025-03-17 10:41:08.238817,,,,Lost,0.0,1,0,0,0,4.0,,,
7862,LEAD_110462,Facebook,Rohit Kapoor,Healthcare,West,2025-03-13 10:41:08.238817,2025-03-14 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
999,LEAD_111704,Facebook,Nan,Healthcare,East,2025-03-13 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
15701,LEAD_108458,Google Ads,Priya Mehta,Unknown,Unknown,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
7201,LEAD_102532,Referral,Rohit Kapoor,Education,Unknown,2025-03-13 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-19 10:41:08.238817,2025-04-02 10:41:08.238817,2025-04-03 10:41:08.238817,Won,47571.0,1,1,1,1,4.0,2.0,14.0,1.0
6294,LEAD_107128,Referral,Rahul Sharma,IT,East,2025-03-13 10:41:08.238817,2025-03-22 10:41:08.238817,2025-03-23 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,1.0,,
13127,LEAD_102916,Nan,Amit Verma,Retail,East,2025-03-13 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-28 10:41:08.238817,2025-04-08 10:41:08.238817,2025-04-09 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,10.0,11.0,1.0
7239,LEAD_111070,Facebook,Amit Verma,Retail,East,2025-03-13 10:41:08.238817,2025-03-20 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-07 10:41:08.238817,2025-04-13 10:41:08.238817,Won,68002.0,1,1,1,1,7.0,10.0,8.0,6.0
